"seed","n","alpha","truth","alphahat","p0hat","p1hat","p2hat","p3hat"
25,100,0,"A",0.0563635218860105,0.196168040463951,0.454543146822406,0.0207138563313696,0.32851755603221
26,100,0,"A",0.0306488138524398,0.00118815059235932,0.722589992347307,0.0656452443375426,0.210180839442033
27,100,0,"A",0.07069897187824,0.37089383710755,0.00223518950417279,0.453370209394652,0.173494199224083
28,100,0,"A",0.00892690071125204,0.000125077221548476,0.626786015873178,0.20720359540171,0.165755908121659
29,100,0,"A",0.0168537844136275,0.0691279447794196,0.499921550399138,0.217578964042797,0.213358416827271
30,100,0,"A",0.00399921273169249,0.179285927064554,0.226714907794592,0.468770245180775,0.125228516908679
31,100,0,"A",0.0399289063904781,0.322171552451567,0.2397790210581,0.0774143156192388,0.360662438898486
32,100,0,"A",0.0499853374733185,0.167583122880907,0.50813532166008,0.0392418777485662,0.284994526335961
33,100,0,"A",0.0195156648582368,0.231414874642096,0.272398954429801,0.265695192476466,0.230485323933553
34,100,0,"A",0.0562037178744338,0.268454533056479,0.419321407716091,0.000511990511533639,0.311898317146383
35,100,0,"A",0.045418330762464,0.277901161901822,0.0314788852888946,0.630342183058762,0.0601859712812101
36,100,0,"A",0.0335860224727796,0.317099198073439,0.0414915329444336,0.507167492091137,0.134280232792139
37,100,0,"A",0.0351052660253351,0.211668030931637,0.324647727309186,0.16459598650832,0.29906457335656
38,100,0,"A",0.0129441439485346,0.131475052328659,0.328097326388114,0.314229688311499,0.22619323475513
39,100,0,"A",0.0344506141233807,0.236113028078339,0.234276990063285,0.208679724759258,0.320925602405616
40,100,0,"A",0.0288767758480484,0.298246274697051,0.200625403516681,0.269717994169265,0.23142652319273
41,100,0,"A",0.0695781944536187,0.295561122283583,0.301826047516472,0.00046687759754346,0.402361015980242
42,100,0,"A",0.0483624092040554,0.371978179714415,0.200754462287326,0.0875169271035277,0.339756052198386
43,100,0,"A",0.0293886787074105,0.244769031357776,0.340816981633969,0.104171721001511,0.310247869785961
44,100,0,"A",0.0500675561603998,0.272500227472663,0.0209535721029225,0.673794845996786,0.0326134940986192
45,100,0,"A",0.0387285665702824,0.306780639496489,0.0326256485082302,0.486687085010433,0.173902959235883
46,100,0,"A",0.0237756456796753,0.0731157451730542,0.547923797114695,0.13424607321873,0.244696290863828
47,100,0,"A",0.0645178962233645,0.408526245326338,0.0311706720524698,0.314388476426491,0.245856379252724
48,100,0,"A",0.0209334544302705,0.140485415530218,0.334147144087734,0.285436904200837,0.239898178090439
49,100,0,"A",0.0176379125091876,0.22032507345211,0.101327274342104,0.636932915746225,0.0413797643905185
